Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CalculatedCostFloor,IsBelowCostFloor
HT,,GLOBAL,GLOBAL,,0.5,1.0,8.1,USD,8.1,7.35,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|1.0,,,,,,,8.1,1.3747996889040972,False
HT,,GLOBAL,GLOBAL,,1.0,2.0,9.1,USD,9.1,8.25,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|2.0,,,,,,,9.1,1.8231022033328856,False
HT,,GLOBAL,GLOBAL,,1.25,3.0,10.3,USD,10.3,9.35,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|3.0,,,,,,,10.3,4.062076623572588,False
HT,,GLOBAL,GLOBAL,,1.75,4.0,12.8,USD,12.8,11.65,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|4.0,,,,,,,12.8,5.380591860001624,False
HT,,GLOBAL,GLOBAL,,2.25,5.0,15.25,USD,15.25,13.85,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|5.0,,,,,,,15.25,6.696472528529424,False
HT,,GLOBAL,GLOBAL,,2.5,6.0,16.85,USD,16.85,15.3,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|6.0,,,,,,,16.85,7.374172122052583,False
HT,,GLOBAL,GLOBAL,,3.0,7.0,19.1,USD,19.1,17.35,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|7.0,,,,,,,19.1,8.679514518975447,False
HT,,GLOBAL,GLOBAL,,3.25,8.0,20.5,USD,20.5,18.65,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|8.0,,,,,,,20.5,9.346675840893665,False
HT,,GLOBAL,GLOBAL,,3.75,9.0,22.5,USD,22.5,20.45,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|9.0,,,,,,,22.5,10.638845398310357,False
HT,,GLOBAL,GLOBAL,,4.0,10.0,23.7,USD,23.7,21.55,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|10.0,,,,,,,23.7,11.295468448623641,False
HT,,GLOBAL,GLOBAL,,4.5,11.0,25.5,USD,25.5,23.2,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|11.0,,,,,,,25.5,12.577099734435391,False
HT,,GLOBAL,GLOBAL,,4.75,12.0,26.5,USD,26.5,24.1,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|12.0,,,,,,,26.5,13.223184513143737,False
HT,,GLOBAL,GLOBAL,,5.25,13.0,28.05,USD,28.05,25.5,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|13.0,,,,,,,28.05,14.491642959449315,False
HT,,GLOBAL,GLOBAL,,5.5,14.0,28.9,USD,28.9,26.25,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|14.0,,,,,,,28.9,15.129824034453955,False
HT,,GLOBAL,GLOBAL,,6.0,15.0,30.2,USD,30.2,27.45,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|15.0,,,,,,,30.2,16.38510964125336,False
HT,,GLOBAL,GLOBAL,,6.5,16.0,31.4,USD,31.4,28.55,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|16.0,,,,,,,31.4,17.635126112250294,False
HT,,GLOBAL,GLOBAL,,6.75,17.0,32.0,USD,32.0,29.1,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|17.0,,,,,,,32.0,18.260134347748767,False
HT,,GLOBAL,GLOBAL,,7.25,18.0,33.55,USD,33.55,30.5,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|18.0,,,,,,,33.55,19.528592861656282,False
HT,,GLOBAL,GLOBAL,,7.5,19.0,34.35,USD,34.35,31.25,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|19.0,,,,,,,34.35,20.16413937109079,False
HT,,GLOBAL,GLOBAL,,8.0,20.0,36.0,USD,36.0,32.75,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""ES"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KG"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PE"", ""PH"", ""PL"", ""PR"", ""PT"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|20.0,,,,,,,36.0,21.43786695786104,False
