Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,EUR_TO_USD,COST_EUR_TO_USD,CalculatedCostFloor,IsBelowCostFloor
HT,,GLOBAL,GLOBAL,,0.5,1.0,15.75,EUR,17.35,15.75,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|1.0,,,,,,,15.75,1.1,1.1394,6.566894906369857,False
HT,,GLOBAL,GLOBAL,,1.0,2.0,21.6,EUR,23.75,21.6,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|2.0,,,,,,,21.6,1.1,1.1394,12.126870368295268,False
HT,,GLOBAL,GLOBAL,,1.25,3.0,27.4,EUR,30.15,27.4,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|3.0,,,,,,,27.4,1.1,1.1394,15.05834575357896,False
HT,,GLOBAL,GLOBAL,,1.75,4.0,33.2,EUR,36.5,33.2,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|4.0,,,,,,,33.2,1.1,1.1394,20.615686647603134,False
HT,,GLOBAL,GLOBAL,,2.25,5.0,39.05,EUR,42.95,39.05,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|5.0,,,,,,,39.05,1.1,1.1394,26.17566210952855,False
HT,,GLOBAL,GLOBAL,,2.5,6.0,44.6,EUR,49.05,44.6,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|6.0,,,,,,,44.6,1.1,1.1394,29.093964655306067,False
HT,,GLOBAL,GLOBAL,,3.0,7.0,50.35,EUR,55.4,50.35,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|7.0,,,,,,,50.35,1.1,1.1394,34.648670981429014,False
HT,,GLOBAL,GLOBAL,,3.25,8.0,56.1,EUR,61.7,56.1,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|8.0,,,,,,,56.1,1.1,1.1394,37.57751179881147,False
HT,,GLOBAL,GLOBAL,,3.75,9.0,61.7,EUR,67.85,61.7,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|9.0,,,,,,,61.7,1.1,1.1394,43.1243144212307,False
HT,,GLOBAL,GLOBAL,,4.0,10.0,67.4,EUR,74.15,67.4,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|10.0,,,,,,,67.4,1.1,1.1394,46.05052067071194,False
HT,,GLOBAL,GLOBAL,,4.5,11.0,73.1,EUR,80.4,73.1,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|11.0,,,,,,,73.1,1.1,1.1394,51.60259242893364,False
HT,,GLOBAL,GLOBAL,,4.75,12.0,78.75,EUR,86.6,78.75,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|12.0,,,,,,,78.75,1.1,1.1394,54.526164110513626,False
HT,,GLOBAL,GLOBAL,,5.25,13.0,84.35,EUR,92.8,84.35,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|13.0,,,,,,,84.35,1.1,1.1394,60.072966732932876,False
HT,,GLOBAL,GLOBAL,,5.5,14.0,89.95,EUR,98.95,89.95,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|14.0,,,,,,,89.95,1.1,1.1394,62.99390384661162,False
HT,,GLOBAL,GLOBAL,,6.0,15.0,95.65,EUR,105.2,95.65,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|15.0,,,,,,,95.65,1.1,1.1394,68.54597560483334,False
HT,,GLOBAL,GLOBAL,,6.5,16.0,101.3,EUR,111.45,101.3,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|16.0,,,,,,,101.3,1.1,1.1394,74.0954127951538,False
HT,,GLOBAL,GLOBAL,,6.75,17.0,106.95,EUR,117.65,106.95,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|17.0,,,,,,,106.95,1.1,1.1394,77.0189844767338,False
HT,,GLOBAL,GLOBAL,,7.25,18.0,112.55,EUR,123.8,112.55,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|18.0,,,,,,,112.55,1.1,1.1394,82.56578709915303,False
HT,,GLOBAL,GLOBAL,,7.5,19.0,118.1,EUR,129.9,118.1,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|19.0,,,,,,,118.1,1.1,1.1394,85.48408964493055,False
HT,,GLOBAL,GLOBAL,,8.0,20.0,123.75,EUR,136.1,123.75,Basic,GLOBAL,region_max,GLOBAL,"[""AF"", ""AG"", ""AL"", ""AM"", ""AR"", ""AT"", ""AU"", ""AZ"", ""BA"", ""BE"", ""BG"", ""BH"", ""BQ"", ""BR"", ""BS"", ""BY"", ""CH"", ""CL"", ""CO"", ""CR"", ""CU"", ""CY"", ""CZ"", ""DK"", ""DZ"", ""EC"", ""EE"", ""FI"", ""FO"", ""FR"", ""GB"", ""GE"", ""GG"", ""GR"", ""GT"", ""HK"", ""HR"", ""HU"", ""ID"", ""IE"", ""IL"", ""IN"", ""IQ"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""KR"", ""KW"", ""KY"", ""LS"", ""LT"", ""LU"", ""LV"", ""MD"", ""ME"", ""MK"", ""MT"", ""MY"", ""NI"", ""NL"", ""NO"", ""NZ"", ""OM"", ""PH"", ""PL"", ""PR"", ""PY"", ""RE"", ""RO"", ""RS"", ""RW"", ""SD"", ""SE"", ""SG"", ""SI"", ""SK"", ""SL"", ""SV"", ""TC"", ""TG"", ""TH"", ""TO"", ""TR"", ""TW"", ""UA"", ""US"", ""UY"", ""UZ"", ""VG"", ""VN"", ""XK""]",GLOBAL|Basic|20.0,,,,,,,123.75,1.1,1.1394,91.03352683525104,False
